State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Arunachal pradesh,Kurung Kumey,77.9,82.4,71.5,98.8,96,94.1,81.4,86.2,6.9,2.5,98.2,31.9,54.9,62,13.1,16.9
Arunachal pradesh,Lohit,78.7,83.1,73.4,99.5,100,97.3,96.9,64.4,25.2,6.1,95.8,19.9,52.8,68.7,37.8,23
Arunachal pradesh,Lower Dibang Valley,75.8,79.5,72,100,100,99.6,96.8,92.7,12.4,7,96.1,23,71.9,70.4,37.2,17.1
Arunachal pradesh,Lower subansiri,78.5,83,72.9,98.8,98.4,94,88.6,92.8,24.7,6.9,96.6,18.8,42.5,68.3,25.8,27.2
Arunachal pradesh,Papum pare,83.8,88.7,78,98.8,100,99.3,88.2,83.2,64.6,32.6,93.3,18.4,40,74.3,64.9,36.9
Arunachal pradesh,Tawang,69,74.4,63.3,100,99.8,98.1,77.8,91.1,50.1,15.1,97.5,8.6,45.3,73.8,40.3,18.6
Arunachal pradesh,Tirap,78.7,82.3,74,100,100,99.1,87.6,84.4,23.2,3.9,97.3,23.6,59.2,70.3,31.9,19.4
Arunachal pradesh,Upper Siang,65.9,69.6,61.5,100,99.6,90.6,84.3,96.6,2.6,2.6,97.8,14.5,78.2,27.2,11,7
Arunachal pradesh,Upper subansiri,83.1,85.8,79.6,97.9,96.5,92.5,82,78.7,27,5.8,97,15.7,37.4,61.5,23.8,23
Arunachal pradesh,West Kameng,77.1,82,71.3,99.1,99.7,97,90.5,96.4,45.5,12.9,97.9,7.2,37.5,77.9,45.5,25.3
Arunachal pradesh,West Siang,78.6,83.1,72.7,95.5,91.6,72.2,74.7,77.8,25.5,7.7,93.2,9.2,39.8,46.5,31.9,20
Assam,Barpeta,74.6,80.9,67.8,99.7,98.4,28.1,73.6,2.5,15.6,2.6,97,27.1,45.1,20.1,27,8.3
Assam,Baska,79.2,84.5,73.1,99,99.5,30.9,59.5,1.4,6.2,2.9,98.4,26.6,66.2,21.7,18.7,5.6
Assam,Bongaigaon,73.4,80,66.1,99.4,98.6,32,62.1,7.9,19.4,5.4,96.4,21.5,40.3,27.5,35.4,12.6
Assam,Cacher,79.5,85.9,73.5,97.7,97.7,36.7,87.3,36.6,12.4,7.3,97.3,24.7,43.4,32.4,29,10.5
Assam,Chirang,69,76.2,60.7,97,97.2,13.6,29.1,0.5,5.2,1.3,99.4,32.8,61.9,12.3,17.8,5.4
Assam,Darrang,76.2,81.7,69.9,99.7,98,23.3,58.4,1.6,8.3,2.7,99.4,27.2,61.8,18.4,23,6.4
Assam,Dhemaji,77.2,84.4,69.5,98.7,98.6,20.2,51.4,1.5,9,2.9,98.1,18.8,72,18.7,22.4,7.4
Assam,Dibrugarh,80.9,87.4,74,97.7,98.5,41.8,82,7.2,21.5,8,92.8,16.2,50.4,43.1,34.5,16.6
Assam,Dubri,69.1,74.8,62.8,97.8,96.7,22,49.3,2.2,8.7,5.8,97.1,22.4,44.4,15.4,16.9,5.4
Assam,Goalpara,77.7,82.5,72.3,99.2,97.9,29.8,64.9,2,7.4,3.4,99.5,17.7,45.9,22.3,23,7.2
Assam,Golaghat,76.8,83.4,69.8,98.1,98.3,27.2,77,8.5,9.2,7.1,96.3,31.5,61.7,31.2,26.9,9.6
Assam,Hailakandi,79.7,86,73.6,98.7,98.6,32.2,96.4,19.7,6.5,3.2,97.6,25.5,41.7,18.5,26,5.1
Assam,Jorhat,84.7,90.6,78.3,98.5,99.4,48.8,70.6,26.6,27.1,8.9,92.9,11.4,54.7,40.5,36.7,17.3
Assam,Kamrup,87.9,91.5,84,99.6,97.5,77.6,91.8,30.8,62.9,23.3,91.1,10,22.6,63.5,59.2,27
Assam,Kamrup metro,84.1,89.3,78.6,98.7,98.8,61.1,79.2,19,38.7,14.8,98.7,19.2,29.8,50.6,47.9,16.4
Assam,Karbianglong,84.7,88.8,79.6,99.8,99.4,63.1,82.9,10.8,17.1,5.4,96.2,10.5,52.5,50.1,35.2,13.9
Assam,Karimganj,76.6,81.9,71.8,98.3,97.5,26.8,85.6,13,9,4.5,97,27.1,41.8,18.6,23.1,4
Assam,Kokrajhar,68.7,75,62,99.1,98.6,34.1,40.2,1.9,12.7,4.1,98.9,27.7,54,21.6,21.7,7.8
Assam,Likhimpur,79.5,86.2,72.4,98.3,98.3,26.2,62.6,4,12.9,5.9,93.8,26.2,63.3,24,29.6,11.8
Assam,Marigaon,78.8,83.7,73.3,99.2,97.8,33.2,68,2.4,12.9,6.5,98.3,21.4,56.5,22.3,23.5,9.6
Assam,Nagaon,79.6,84.1,74.7,99.1,98.2,39.9,75.5,10.2,16.8,5.2,92.7,23.7,46.4,29.6,29.2,10.6
Assam,Nalbari,82.5,89.1,75.3,99,99,42,68,3.4,20.2,7,99.1,29.4,41.7,29.9,29.9,10.6
Assam,North Cachar Hills,85.3,91.2,78.7,99.5,99,75.2,95.7,33.7,28.1,3.9,93.9,8.9,32,51.1,44.2,15.4
Assam,Sibsagar,85.4,90.3,80.3,97.6,97.6,48.3,79.4,11,19.9,7,93.6,21.4,62.2,38.6,39,16.8
Assam,Sonitpur,73.1,80.2,65.8,97.4,98.6,39.3,68.6,8.1,19.2,5.5,89.8,19.3,43.7,29.4,28.6,13
Assam,Tinsukia,71.5,81.5,60.7,97.5,95.3,40.8,82.3,2.9,16.2,4.5,85.6,11.9,45.1,35.9,25.9,9.6
Assam,Udalguri,73.3,80.2,66,97.7,97.4,30.8,56.5,3.2,5.4,2.8,94.7,23.8,51.2,23.3,26.5,6.4
Bihar,Araria,50.6,62.1,39.1,97.7,99.1,4.7,6,0.1,1.4,5.4,96.1,20.6,48.3,9,10.7,5.1
Bihar,Aurangabad,67.6,81.6,53.9,99.4,99.4,11.3,15.2,2.4,4.1,17.2,98.9,32.7,64.1,8,19.4,6.6
Bihar,Banka,51.4,66.4,37.5,97.8,99.2,12.4,7,0.1,2.4,10,99,26.6,67.1,4.9,12.6,4.3
Bihar,Begusarai,59,72,46.7,99.7,98.7,23.7,25.1,0.1,2.5,13.5,98.6,27.5,27.9,8.4,13.1,4.5
Bihar,Bhagalpur,59.3,69.1,48.6,99.1,97.8,44.4,25.8,6.1,7,24.7,97.1,12.7,43,21.5,22.3,7.9
Bihar,Bhojpur,66.5,81.5,51.2,98.8,98.5,19.7,20.2,1,8.4,27.6,95.9,31,49.6,18.1,21.8,8
Bihar,Buxar,68.3,82.1,54.2,97.2,98,24.5,17.7,2,8.2,24.9,96.4,34.7,50,17.7,25,9.7
Bihar,Darbhanga,56.5,71.1,43,98.5,99.4,25.4,18.8,0.2,5.5,12.5,98.1,15.4,29.1,9.7,18.1,4.9
Bihar,Gaya,59.2,73.2,46.1,98,98.9,24.4,22.4,4.2,9.5,17.7,96.8,24.6,57.9,13.5,16.6,7.6
Bihar,Gopalgunj,63.2,78.3,48.9,99.8,100,24.6,14.6,0.1,5.7,27.6,98.5,19.9,73.1,12.5,28.3,9.6
Bihar,Jamui,52.4,69.5,35.9,98.1,99.3,14.2,8.4,1.2,2.7,9.6,97.9,31.4,73.7,6.6,12,5.3
Bihar,Jehanabad,64.8,79.5,51.1,98.4,99.5,20.5,20.1,0.7,2.6,13.1,98.8,27.9,51.1,11.5,18.7,5.7
Bihar,Kaimur,67.1,80.3,53.7,99.5,98.7,34.6,10.6,2.3,1.5,15.4,98.8,23.3,55.3,12.5,16.9,10.3
Bihar,Katihar,51.3,62.2,40.9,98.6,97.4,12,17.2,1.5,5.6,7.7,96.8,28.2,42,10.7,9.6,5.3
Bihar,Khagaria,55.8,68.8,43.2,99.3,97.8,23.9,20.1,0.4,4,9.5,98.2,27.7,42.1,9.4,13.4,4.2
Bihar,Kishangunj,54.4,65.6,43.6,99.5,99.3,11.7,11.9,0.5,2.7,6.6,97.8,44.6,38.3,8.8,9.1,4
Bihar,Lakhisarai,59.2,73.3,45.9,99.1,99.5,37.4,23.5,1.1,5.9,23.2,98.8,29.6,48.8,15.2,18.8,4.2
Bihar,Madhepura,51,66.5,36.2,98.6,98.9,9,10.4,0.3,2.5,6.4,98.8,27.7,48.4,5.7,15.6,4.9
Bihar,Madhubani,53,69.1,40,97.7,98.6,17.9,12,0.7,2.2,8.9,98.6,25.3,48.7,6.3,13.9,4.7
Bihar,Munger,70.5,80.5,60.1,99.1,99.5,53.2,40.4,1.7,16.6,26.4,95.2,23.2,35,30.6,28.3,9
Bihar,Muzaffarpur,60,69.9,50.2,97.6,99.3,25.8,20.5,0.7,6.7,18,98.1,25.5,45.5,14.2,19.4,7.9
Bihar,Nalanda,62.7,76.5,49.7,98.9,98.7,34.3,30.2,7.7,10.1,29.8,98.7,27.2,59.8,19.1,22.6,6.9
Bihar,Nawada,56.3,70.1,44.6,99.2,98.3,12.9,16.3,1.6,3.2,24.4,97.8,29.1,61.8,6.6,15.2,3.9
Bihar,Paschim Champaran,53.4,66.2,41.3,98.2,98.8,11.5,12.9,0.6,3.8,9,99,28.2,48.2,7.9,13.5,4.3
Bihar,Patna,70,81.9,57.6,98.6,98.6,63.9,49.3,24.3,27.4,37.4,94.4,30.2,44.6,42.9,32.5,15
Bihar,Purba Champaran,55.9,70,42.8,99.2,98.7,12.7,11.8,0.4,3.5,10.7,99.7,20.8,50.7,7.8,17.6,6.2
Bihar,Purnia,49,61.3,37,99.3,99.5,19.8,13.1,0.2,4.1,8.7,97.3,22.6,41.6,11,13,4.9
Bihar,Rohtas,69.7,81.6,57.3,99.3,99.7,38.5,22.8,3.1,8.2,25.2,97.2,21.8,54.9,17.2,26,9.6
Bihar,Saharsa,47.9,64.7,33.3,99,98.7,24.3,11.1,0.2,3.5,10.8,98.7,26.1,48.5,9.2,16,5.6
Bihar,Samastipur,60.1,72.7,48.6,99.2,98.4,16.3,15.3,0.2,2.2,7.6,98.9,19.8,40.1,6.2,12.2,4.9
Bihar,Sapaul,52,70.4,34.1,97.4,98.6,16.5,6.7,0.1,0.8,4.5,97.6,31.4,52.8,6.8,12.6,4.3
Bihar,Saran,65.5,80.1,51.9,99.4,98.3,17.4,15.4,1.7,4.4,12.4,98.8,21.2,57.2,16.6,24.2,9.2
Bihar,Sheikhpura,60.3,74.8,46.4,96.6,98.5,36.7,24.2,4.8,6.3,2.5,98.4,27.9,58.6,14.5,18.6,7
Bihar,Sheohar,45.3,57.8,34,97.1,98.5,14.5,14.7,0.1,1.5,7,98.7,31.2,38.7,6.4,12.3,3.5
Bihar,Sitamarhi,48.5,60.1,37.9,98.7,97.7,19.6,16,0.1,4.8,11.4,98,24.1,43.3,8.2,13.5,5.2
Bihar,Siwan,67.6,79.4,56.9,100,100,16.2,19.6,0.1,5.4,24.4,98.9,15.4,47.1,12.6,26.8,8.8
Bihar,Vaishali,66.3,79.1,53.9,98.8,98.5,24.4,20.5,2.6,5.2,14,98.5,34.2,54,15.2,18.4,8.1
Chandigarh,Chandigarh,89.3,93,85,99.8,100,99.3,95.2,96.3,84.9,94.7,78,0.8,10.1,94.3,86.5,63.7
Chhattigarh,Bastar,51.9,62.8,41.2,98.6,97.8,45.9,19.1,7.6,4.4,4.9,97.3,69.6,75.4,14.3,8.4,9.2
Chhattigarh,Bilaspur,66.7,79.4,54.2,97.8,98.3,85.3,23,16.9,11.1,13.1,96.7,60.2,59.6,35.2,17.1,13.1
Chhattigarh,Dantewara,42.8,53.2,32.6,95.3,98.1,54.2,9.8,9.1,8.7,7.2,97.9,64.9,70.2,17.4,11,9
Chhattigarh,Dhamtari,76.2,87.3,65.6,99.5,98.2,86.7,24.1,17.8,10.3,14.2,96.2,53.7,59.9,40.8,12.6,18
Chhattigarh,Durg,76.2,87.3,65.2,97.6,98.2,88.4,29.5,34,18,24.7,94.3,40.9,57.7,53.2,22.9,25
Chhattigarh,Janjgir,70.1,83.6,56.7,99.3,98.5,92.9,14.2,9.5,5.1,12,97.3,58.5,68.9,37.7,13.2,14.3
Chhattigarh,Jashpur,67.4,77.5,57.5,98.8,97.9,32.7,6.8,3.3,2.3,2,98.6,52.2,81.3,10.5,6.7,7.2
Chhattigarh,Kanker,66.3,77.5,55.4,97.3,96.7,60,15.6,5.3,3.4,4.6,98.7,61.4,81.5,18.3,7.5,9.4
Chhattigarh,Kawardha,56.8,70.2,43.3,95.4,97.3,78.2,8.2,9.6,2.6,6.9,98.1,64.8,71,20.3,7.1,9.9
Chhattigarh,Korba,66.9,78.9,54.8,97.1,97.1,74.9,24.2,18.3,11.6,13,95.5,55.7,56.3,34.6,17.3,16
Chhattigarh,Koriya,66.6,78.4,54.1,98.4,98.5,52.2,22.3,23,16.8,11.9,95,46.8,56.3,28.9,19.6,18.3
Chhattigarh,Mahasamund,68.9,80.9,57.1,98.9,95.8,81.3,12.1,9.7,5.5,7.9,96.7,53.5,64.7,28.2,11.1,13.4
Chhattigarh,Raigarh,69.2,79.3,59,99.7,99.1,88.5,15.8,17.9,7.5,9.2,97.7,63.7,60.7,35.2,11.6,14.5
Chhattigarh,Raipur,71.6,83.3,59.7,97.2,97.4,83.1,23.6,23.2,16.7,22.8,95.2,45.3,59.6,47.2,21.1,21.2
Chhattigarh,Rajnand Gaon,69.9,80.4,59.8,98.8,99.1,85.4,17.4,17,7.6,10.1,97.1,50.1,70,27.5,8.7,10.6
Chhattigarh,Sarguja,57.5,69.3,45.3,98.2,98.2,49.8,16.8,3.1,5.7,4.4,98.9,65.6,77.3,17.3,9.8,12.1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,69.8,80,57.5,96.5,97.7,96.2,39.6,53.9,28.6,23.6,87,34.6,51.3,48.5,37.5,22.5
Daman and Diu,Daman ,86,92.4,77.9,99.6,98.9,99.7,68.9,74,54.8,39.4,82.7,16.9,32.1,70,61.9,43
Daman and Diu,Diu,79.2,88.4,70.7,99.7,99.1,99.6,61.1,96.5,51,73.2,85.4,13.9,17.9,79.9,65.8,41.1
Delhi,Central,88.5,91,85.5,100,99.8,98.7,97,92.7,89.9,92.8,82.6,18.3,9,89.9,82.6,44.9
Delhi,East,86.4,91.3,80.3,98.7,98.9,98.4,93.8,83.6,88.6,94.1,88.9,21.1,16.6,83.9,80,42.5
Delhi,New Delhi,87.9,93.2,81.2,98.4,99.5,99.9,91.1,95,88.1,73.6,79,4.9,27.7,84.5,82.4,38.6
Delhi,North Delhi,84.2,87.9,79.3,98.8,99.4,96.5,93.1,84,78.8,87.1,88,23.2,22.8,79.9,75.3,32.4
Delhi,North East,83.6,89.3,77,97.6,98.6,99.6,95.8,84.7,82.9,89.1,86.8,35.7,19.3,81.9,72.1,33.9
Delhi,North West,84,89.6,77.2,98.5,98.8,98.8,89.4,78.4,78.8,86.3,90.1,29.1,25.2,82.2,71.5,36.8
Delhi,South,84.3,90.8,76.5,100,99.4,97.5,85.2,74.9,83,84.1,91.2,9.2,20.7,79,76.9,38.3
Delhi,South West,87.2,93.2,79.7,99.1,99.1,99.6,91.6,67.9,88.7,81.6,90,9,34.1,85.6,82.6,41.5
Delhi,West,88,92.8,82.2,99.6,98.3,99.6,95.9,90,88.6,90.8,92.2,18.9,17.7,86.4,78.9,46.9
Goa,North Goa,89,94.3,83.9,99.8,100,98.2,78.7,77.7,64.4,42.5,93.9,9.3,23,81.5,70.8,58.7
Goa,South Goa,86.8,92.5,81.2,100,100,97.5,85.2,86.6,70.1,48.9,94.5,6.1,12.5,81.1,74.1,56.7
Gujrat,Ahmedabad,81.8,89.2,73.7,98,97.6,98.2,79.1,88.8,53.2,58.2,91,13.1,19,77.5,63,38.4
Gujrat,Amreli,73.4,82.6,64.2,98.2,98.9,93.4,50.6,76,25.6,43.7,95.1,26.8,45,53.5,58.1,35.2
Gujrat,Anand,80.7,89.7,71.2,97,100,87.9,57,92.2,35.5,40.4,90.4,35.1,34.1,52,43,23.8
Gujrat,Banaskantha,62.3,75.6,48.3,97.6,96.6,72.2,21.6,63.4,11.4,30.5,94,26.7,56.4,22.4,33.9,11.7
Gujrat,Bharuch,76.4,85.3,67.5,98.4,98.4,92.7,45.3,76.3,29.9,37.7,96.9,38.1,35.5,50,41.2,29.6
Gujrat,Bhavnagar,72.8,82.8,62.5,97.3,99,95.8,48.2,83.5,27.9,44.9,93.7,21.3,34.7,58.6,50.6,35
Gujrat,Dahod,59.7,72.8,47.1,97.2,97.1,63.6,15.6,6.9,9.4,13.1,97.4,31.3,86.2,17.4,34.5,15.5
Gujrat,Gandhinagar,81.7,91.6,71.4,94.6,97.8,91.5,61.5,93.1,43.6,59.4,89.1,23.9,43.5,61.5,50.8,35.1
Gujrat,Jamnagar,71.8,81.1,61.7,97.6,96.8,94.2,50.3,77.8,30,65.3,90.6,21.9,33.7,63.4,61.4,41.3
Gujrat,junagadh,73.2,82.8,63.3,98,96.6,96.8,57.1,73.9,25.8,54.2,91.2,23.7,41.4,58.5,51.6,31.2
Gujrat,Kachchh,62,73.1,50.3,92.9,97.9,87.7,43.9,77.4,20.8,36.8,91,33,28.6,50.3,56,25.2
Gujrat,Kheda,80.9,92.4,68.9,98.4,99.5,87.5,49.7,72.4,27.8,43.9,94.6,30.3,55.6,49.3,42.3,25.3
Gujrat,Mahesana,80.3,90,70.6,99.8,99.3,92.4,51.5,87.6,36.6,53.7,91.7,15.5,52.6,59.7,51.9,26.8
Gujrat,Narmada,67.3,78.7,55.5,98.9,96.4,74.3,14.6,26.4,8.1,11.5,97.3,59.3,52.2,22.4,14.6,11.1
Gujrat,Navsari,80.1,86.7,73.8,99.2,97.6,89.3,47.2,46.5,30.8,31.9,92.6,35.9,32.9,47.4,41.9,35.2
Gujrat,Panch Mahals,70.2,83.9,56.8,99.1,97.5,85.2,28.8,23.9,14.9,27.3,97.1,31,78.5,24.4,32.5,18.3
Gujrat,Patan,68.6,81,56.2,97.1,97.8,85.7,46.6,90.8,18.9,29.9,93.8,30.9,48.3,38.2,41.2,15.3
Gujrat,Porbandar,73.4,82.2,64.1,98.6,98.4,92.3,51.4,68,27.9,63.5,90.5,32.2,27.1,58.6,53.3,26.8
Gujrat,Rajkot,78.2,86.5,69.4,99.3,99.2,97,63.1,86.5,45.5,66.3,92.6,18.1,31,71.1,66.4,49.1
Gujrat,Sabarkantha,72.1,85,59.1,99.1,97,87.6,35.6,62.2,17.4,34.2,96,46.9,67.7,33.5,34.7,21.4
Gujrat,Surat,79.9,84.5,73.9,98.9,97.9,93.4,65.3,73.4,48.3,46,86.2,21.5,22.8,56.7,51.3,37.5
Gujrat,Surendranagar,67.5,78.3,56.1,97.5,98.6,86.8,34.3,49,20.9,41.4,93.2,23.5,46.1,47.6,50.9,27.3
Gujrat,The Dangs,60.9,70.9,50.9,95.6,96,50.3,21.5,7.9,0.6,3.3,98.9,53.2,65,13.9,5.9,8.9
Gujrat,Vadodara,70.1,79.6,60,99.2,97.9,84.2,44,67.4,33.7,36.4,94.6,27.4,38.7,47,41.1,28.2
Gujrat,Valsad,78.8,85.6,71.4,99.3,99.7,91.2,47.2,31.4,31.8,36.3,91.3,34.1,47.8,53.9,45.3,38.2
Haryana,Ambala,80,86.5,72.8,99.5,99.3,94.9,55.7,73.9,40.1,62.8,92.1,12,26.4,74.2,51.1,37.3
Haryana,Bhiwani,72.5,84.8,59.6,99.6,100,91.8,46.3,52.8,17.7,52.7,98.6,19.1,55.8,56.9,52.7,19.7
Haryana,Faridabad,74.8,85.8,61.6,99.7,100,90.9,59.2,46.6,46.5,61.9,95.6,9.4,33.5,61.7,55.2,31.2
Haryana,Fatehabad,66.2,75.3,56.6,99.3,97.7,87.6,79.6,64.1,21.9,50.7,95.7,24.5,36.9,53.4,50.9,26.1
Haryana,Gurgaon,80.4,89.6,69.9,98.5,98.8,95.2,65.5,59.8,49.4,75.6,96.2,12.1,29.5,67.5,66.8,35.5
Haryana,Hisar,69.7,80.6,57.6,99.2,100,88.9,57.5,36.4,23.9,54.7,95.7,19.6,43.3,53.1,47.9,23.7
Haryana,Jhajjar,77,86.7,66.3,99.5,100,93.9,51.8,55.9,23.1,59.3,96.9,14.2,50.4,62.3,47.4,25.7
Haryana,Jind,70.4,81,59.1,99.6,99.4,96.2,44.9,35,14.6,38.7,98.8,27.8,56.2,59.4,49.8,19.8
Haryana,Kaithal,66.4,74.4,57.7,99.2,100,94.5,56.8,48.5,20.4,51.1,98.8,21.5,44,65.1,54.9,33
Haryana,Karnal,75,83.1,66.3,99.7,99.5,95.8,65.3,75.7,30.7,62,97.4,17.2,30.9,71,48.1,35.4
Haryana,Kurukshetra,75.7,82.8,68,99.6,99.2,94.4,64.5,81.8,31.8,63,95.6,18.1,27.8,63.3,43,32.6
Haryana,Mahendragarh,75.4,88.8,61.1,100,99.8,89.3,37,78.8,15.2,51.7,99,16.4,58.9,53,58.9,24.6
Haryana,Mewat,53.6,72.9,33.7,91.1,98,78.8,16.2,35.1,4.5,34.6,98.2,24.5,53.7,21.4,49,21.2
Haryana,Panchkula,81.6,88.1,74.7,97.6,99.1,94.2,63.1,90.4,48.8,74.5,92.9,11.3,31.2,76.9,62.2,45
Haryana,Panipat,75.4,84.7,64.8,99.8,98.9,96.5,76.6,50.3,35.8,63.7,93.5,14.3,34.9,62.5,47.8,28.5
Haryana,Rewari,78.7,91.1,65.6,100,99.8,94.3,46,61,26.7,67.1,98.3,20.7,53.3,62.7,61.7,35.4
Haryana,Rohtak,79,88.6,68.7,98.8,99.3,97.5,61.3,55.2,34.6,69.7,98,15.5,44.2,68.1,56.9,33.4
Haryana,Sirsa,69,77.8,59.4,99.5,98.4,85.6,95,88.4,26.5,47.3,96.7,20.9,37.4,55.3,58.5,32.2
Haryana,Sonipat,80.5,89.7,70.2,100,99.9,95.6,59.5,51.8,30.3,64,95.1,12,42,68,52.3,32.6
Haryana,Yamunanagar,76.7,84,68.4,100,99.5,93.9,49.5,61,33.1,63.9,94.5,16.4,31.5,66.8,48.8,33.3
Himachal Pradesh,Bilaspur,83.9,90.7,76.7,99.7,99.7,99.6,58.8,54.6,13,51,99.1,24.6,84.4,76.1,57.3,10.7
Himachal Pradesh,Chamba,72.4,84,59.9,99.5,99.2,97.4,31.2,83.1,13.6,30.8,98.5,42.9,84.1,58.7,40.9,6.1
Himachal Pradesh,Hamirpur,87.9,94.8,81,99.5,99.5,99.5,70.1,70.9,20.4,63.4,99,20.7,83.2,82,59.1,13.6
Himachal Pradesh,Kangra,84.3,91.3,76.8,100,100,99.4,33.5,67.7,20.4,43.2,98.5,28.8,75.5,73.1,49.9,15.3
